epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4172.34,0.7,0.43338,0.87115,0.81156,0.82845,0.8719,0.58867,0.89462,0.63442,0.93946,0.000230979,0.000230979,0.000230979
43,4272.23,0.69382,0.42791,0.86886,0.82674,0.82713,0.87258,0.58896,0.88225,0.62158,0.94165,0.000219198,0.000219198,0.000219198
44,4371.6,0.69031,0.42046,0.87006,0.82236,0.84034,0.87921,0.59046,0.88694,0.58506,0.93576,0.000207417,0.000207417,0.000207417
45,4470.97,0.68619,0.4246,0.8689,0.83145,0.8395,0.88012,0.59747,0.86935,0.60357,0.93263,0.000195636,0.000195636,0.000195636
46,4569.89,0.6884,0.41808,0.8677,0.83097,0.82092,0.87798,0.59441,0.87724,0.59078,0.93794,0.000183855,0.000183855,0.000183855
47,4669.43,0.70115,0.4302,0.87213,0.81555,0.83276,0.87693,0.58518,0.88325,0.58559,0.94083,0.000172074,0.000172074,0.000172074
48,4769.13,0.69055,0.42226,0.87392,0.86595,0.80294,0.87787,0.59184,0.87239,0.60166,0.93119,0.000160293,0.000160293,0.000160293
49,4868.03,0.67547,0.40921,0.86307,0.84176,0.81837,0.87859,0.58859,0.8892,0.60799,0.94057,0.000148512,0.000148512,0.000148512
50,4967.2,0.67498,0.41142,0.86404,0.82989,0.81291,0.86498,0.5883,0.88315,0.5957,0.94537,0.000136731,0.000136731,0.000136731
51,5077.38,0.68166,0.40034,0.85439,0.85343,0.7907,0.86411,0.57953,0.89734,0.60246,0.94233,0.00012495,0.00012495,0.00012495
52,5176.14,0.68063,0.38516,0.85563,0.88191,0.78029,0.86753,0.57891,0.89348,0.6035,0.94861,0.000113169,0.000113169,0.000113169
53,5274.96,0.66262,0.37945,0.85065,0.81715,0.82935,0.87408,0.59217,0.88722,0.60174,0.94466,0.000101388,0.000101388,0.000101388
54,5374.12,0.6609,0.37774,0.85262,0.83165,0.83384,0.8801,0.59177,0.87992,0.60066,0.93649,8.9607e-05,8.9607e-05,8.9607e-05
55,5472.61,0.66028,0.37882,0.85538,0.82296,0.84744,0.87851,0.59039,0.88013,0.60062,0.93621,7.7826e-05,7.7826e-05,7.7826e-05
56,5571.61,0.64499,0.3672,0.84599,0.8274,0.84356,0.87716,0.59516,0.88144,0.59934,0.9394,6.6045e-05,6.6045e-05,6.6045e-05
57,5670.34,0.64603,0.3712,0.84689,0.84425,0.83061,0.8831,0.59704,0.87746,0.58775,0.94064,5.4264e-05,5.4264e-05,5.4264e-05
58,5768.73,0.64495,0.36512,0.8453,0.82486,0.83918,0.88301,0.59855,0.88091,0.59194,0.94318,4.2483e-05,4.2483e-05,4.2483e-05
59,5867.56,0.63716,0.36634,0.84629,0.81879,0.8365,0.87651,0.59197,0.88241,0.59566,0.94178,3.0702e-05,3.0702e-05,3.0702e-05
60,5966.54,0.63313,0.3698,0.84314,0.82316,0.8381,0.87928,0.597,0.87839,0.59455,0.93937,1.8921e-05,1.8921e-05,1.8921e-05
